// Custom Mob Skill Database
//
// Structure of Database:
// MobID,Dummy value (info only),State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat
//
// RATE: the chance of the skill being casted when the condition is fulfilled (10000 = 100%).
// DELAY: the time (in milliseconds) before attempting to recast the same skill.
//
// STATE:
//	any (except dead) / idle (in standby) / walk (in movement) / dead (on killed) /
//	loot /attack / angry (like attack, except player has not attacked mob yet) /
//	chase (following target, after being attacked) / follow (following target,
//	without being attacked) / anytarget (attack+angry+chase+follow)
//
// TARGET:
//	target (current target) / self / friend / master / randomtarget (any enemy within skill's range)
//
//	The following are for ground-skills, a random target tile is selected from the specified area:
//	    around1 (3x3 area around self) / around2 (5x5 area around self) /
//	    around3 (7x7 area around self) / around4 (9x9 area around self) /
//	    around5 (3x3 area around target) / around6 (5x5 area around target) /
//	    around7 (7x7 area around target) / around8 (9x9 area around target) /
//	    around = around4
//
// CONDITION:
//	always			Unconditional (no condition value).
//	onspawn			When mob spawns/respawns (no condition value).
//	myhpltmaxrate		When mob's HP drops to the specified %.
//	myhpinrate		When mob's HP is in a certain % range (condition value = lower bound, val1 = upper bound).
//	mystatuson		If mob has the specified abnormality in status.
//	mystatusoff		If mob has ended the specified abnormality in status.
//	friendhpltmaxrate	When mob's friend's HP drops to the specified %.
//	friendhpinrate		When mob's friend's HP is in a certain % range (condition value = lower bound, val1 = upper bound).
//	friendstatuson		If friend has the specified abnormality in status.
//	friendstatusoff		If friend has ended the specified abnormality in status.
//	attackpcgt		When attack PCs become greater than specified number.
//	attackpcge		When attack PCs become greater than or equal to the specified number.
//	slavelt			When number of slaves is less than the original specified number.
//	slavele			When number of slaves is less than or equal to the original specified number.
//	closedattacked		When close range melee attacked (no condition value).
//	longrangeattacked	When long range attacked, ex. bows, guns, ranged skills (no condition value).
//	skillused		When the specified skill is used on the mob.
//	afterskill		After mob casts the specified skill.
//	casttargeted		When a target is in cast range (no condition value).
//	rudeattacked		When mob is rude attacked (no condition value).
//	mobnearbygt		When monsters in range become greater than specified number.
//	groundattacked		When mob is hit by ground targeted skill (no condition value).
//	damagedgt		When single attack deals greater damage than specified number.
//	alchemist		When mob has a special AI, is not trickcasting, and is wounded (no condition value).
//	trickcasting		Used once mob started moving through NPC_RANDOMMOVE until disabled (no condition value).
//
//	Status abnormalities specified through the statuson/statusoff system:
//	    anybad (any type of state change) / stone / freeze / stun / sleep /
//	    poison / curse / silence / confusion / blind / hiding / sight (unhidden)
//
// Note: if a negative MobID is provided, the skill will be treated as 'global':
//	-1: added for all boss types.
//	-2: added for all normal types.
//	-3: added for all mobs.


// MobID,Dummy value (info only),State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat

// Faceworm Add
27003,Vagabond Wolf@NPC_EMOTION,chase,197,1,2000,0,5000,yes,self,always,0,27,,,,,,
27003,Vagabond Wolf@NPC_GROUNDATTACK,attack,185,3,500,500,5000,no,target,always,0,,,,,,6,
27003,Vagabond Wolf@NPC_SUMMONSLAVE,attack,196,5,10000,2000,10000,no,self,slavele,3,1013,,,,,27,
27003,Vagabond Wolf@NPC_SUMMONSLAVE,idle,196,5,10000,2000,10000,no,self,slavele,3,1013,,,,,27,
27003,Vagabond Wolf@NPC_SUMMONSLAVE,idle,196,5,10000,0,0,no,self,onspawn,0,1013,,,,,27,

27004,Kraken Leg@NPC_WIDEFREEZE,chase,664,5,2000,5000,30000,yes,self,always,0,,,,,,32,
27004,Kraken Leg@NPC_WIDEFREEZE,attack,664,5,2000,5000,30000,yes,self,always,0,,,,,,32,
27004,Kraken Leg@NPC_WIDECURSE,chase,677,5,2000,5000,30000,yes,self,always,0,,,,,,36,
27004,Kraken Leg@NPC_WIDECURSE,attack,677,5,2000,5000,30000,yes,self,always,0,,,,,,36,
27004,Gypsy Trentini@NPC_WIDESTUN,chase,678,5,2000,5000,30000,yes,self,always,0,,,,,,27,
27004,Gypsy Trentini@NPC_WIDESTUN,attack,678,5,2000,5000,30000,yes,self,always,0,,,,,,27,
27004,Beelzebub@NPC_WIDESILENCE,attack,663,5,2000,5000,30000,yes,self,always,0,,,,,,9,
27004,Beelzebub@NPC_WIDESILENCE,chase,663,5,2000,5000,30000,yes,self,always,0,,,,,,9,


27005,EP18_ASHRING@NPC_POISON,attack,176,3,2000,800,0,no,target,always,0,,,,,,,
27005,EP18_ASHRING@NPC_POISONATTACK,attack,188,3,2000,0,0,yes,target,always,0,,,,,,,
27005,EP18_ASHRING@NPC_AGIUP,chase,350,1,1000,0,30000,yes,self,always,0,,,,,,,
27005,EP18_ASHRING@WZ_QUAGMIRE,chase,92,2,2000,0,10000,yes,target,always,0,,,,,,6,
27006,EP18_GREY_WOLF@NPC_POISONATTACK,chase,188,3,2000,0,0,yes,target,always,0,,,,,,,
27006,EP18_GREY_WOLF@NPC_COMBOATTACK,attack,171,3,2000,200,0,yes,target,always,0,,,,,,,
27006,EP18_GREY_WOLF@NPC_COMBOATTACK,chase,171,3,2000,200,0,yes,target,always,0,,,,,,,
27006,EP18_GREY_WOLF@NPC_STUNATTACK,attack,179,4,2000,0,5000,yes,target,always,0,,,,,,,
27006,EP18_GREY_WOLF@NPC_STUNATTACK,attack,179,10,2000,0,10000,yes,target,always,0,,,,,,,
27007,EP18_TUMBLE_RING@NPC_CRITICALWOUND,attack,673,1,1000,300,5000,no,target,always,0,,,,,,,
27007,EP18_TUMBLE_RING@NPC_POISONATTACK,attack,188,2,2000,500,15000,no,target,always,0,,,,,,9,
27007,EP18_TUMBLE_RING@NPC_CLOUD_KILL,attack,739,5,10000,0,3000,yes,target,always,0,,,,,,,
27007,EP18_TUMBLE_RING@NPC_AGIUP,chase,350,10,2000,0,100000,yes,self,always,0,,,,,,,
27007,EP18_TUMBLE_RING@NPC_AGIUP,attack,350,10,2000,0,100000,yes,self,always,0,,,,,,,
27008,Valkyrie Randgris@AL_TELEPORT,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,,
27008,Valkyrie Randgris@NPC_POWERUP,attack,349,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
27008,Valkyrie Randgris@NPC_POWERUP,chase,349,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
27008,Valkyrie Randgris@NPC_AGIUP,attack,350,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
27008,Valkyrie Randgris@NPC_AGIUP,chase,350,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
27008,Valkyrie Randgris@NPC_PULSESTRIKE,attack,661,5,2000,0,30000,yes,self,always,0,,,,,,32,
27008,Valkyrie Randgris@SA_DISPELL,attack,289,5,10000,0,30000,yes,target,always,0,,,,,,,
27008,Valkyrie Randgris@SA_DISPELL,chase,289,5,10000,0,30000,yes,target,always,0,,,,,,,
27008,Valkyrie Randgris@NPC_HOLYATTACK,attack,189,10,2000,500,5000,no,target,always,0,,,,,,,
27008,Valkyrie Randgris@CR_HOLYCROSS,attack,253,10,2000,0,5000,yes,target,always,0,,,,,,,
27008,Valkyrie Randgris@NPC_GUIDEDATTACK,attack,172,10,5000,0,5000,yes,target,always,0,,,,,,,
27008,Valkyrie Randgris@NPC_EARTHQUAKE,chase,653,5,10000,1000,25000,no,self,myhpltmaxrate,30,,,,,,,
27008,Valkyrie Randgris@NPC_EARTHQUAKE,attack,653,5,10000,1000,25000,no,self,myhpltmaxrate,30,,,,,,,
27008,Valkyrie Randgris@WZ_VERMILION,attack,85,21,1000,1000,5000,no,target,always,0,,,,,,,
27008,Valkyrie Randgris@WZ_VERMILION,chase,85,21,2000,1000,5000,no,target,always,0,,,,,,,
27008,Valkyrie Randgris@WZ_STORMGUST,attack,85,21,1000,1000,5000,no,target,always,0,,,,,,,
27008,Valkyrie Randgris@WZ_STORMGUST,chase,85,21,2000,1000,5000,no,target,always,0,,,,,,,
27008,Flint Manfred@CR_SHIELDCHARGE,chase,250,5,2000,0,10000,yes,target,always,0,,,,,,,
27008,Flint Manfred@RG_BACKSTAP,chase,212,5,2000,0,10000,yes,target,always,0,,,,,,,
27008,Cecil Damon@NPC_ARROWSTORM,chase,728,3,2500,1000,10000,no,target,always,,,,,,,,
27008,Cecil Damon@NPC_ARROWSTORM,attack,728,3,2500,1000,10000,no,target,always,,,,,,,,
27008,Cardinal Margaretha@CD_DILECTIO_HEAL,chase,5280,9,2000,0,2000,yes,friend,friendhpltmaxrate,99,,,,,,3,
27008,Cardinal Margaretha@CD_DILECTIO_HEAL,chase,5280,9,2000,0,2000,yes,self,myhpltmaxrate,99,,,,,,3,
27008,Cardinal Margaretha@CD_DILECTIO_HEAL,idle,5280,9,2000,0,2000,yes,self,myhpltmaxrate,99,,,,,,3,
27008,Valkyrie Randgris@AL_TELEPORT,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,,

22381,Valkyrie Randgris@AL_TELEPORT,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,,
22381,Valkyrie Randgris@NPC_POWERUP,attack,349,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
22381,Valkyrie Randgris@NPC_POWERUP,chase,349,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
22381,Valkyrie Randgris@NPC_AGIUP,attack,350,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
22381,Valkyrie Randgris@NPC_AGIUP,chase,350,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
22381,Valkyrie Randgris@NPC_PULSESTRIKE,attack,661,5,2000,0,30000,yes,self,always,0,,,,,,32,
22381,Valkyrie Randgris@SA_DISPELL,attack,289,5,10000,0,30000,yes,target,always,0,,,,,,,
22381,Valkyrie Randgris@SA_DISPELL,chase,289,5,10000,0,30000,yes,target,always,0,,,,,,,
22381,Valkyrie Randgris@NPC_HOLYATTACK,attack,189,10,2000,500,5000,no,target,always,0,,,,,,,
22381,Valkyrie Randgris@CR_HOLYCROSS,attack,253,10,2000,0,5000,yes,target,always,0,,,,,,,
22381,Valkyrie Randgris@NPC_GUIDEDATTACK,attack,172,10,5000,0,5000,yes,target,always,0,,,,,,,
22381,Valkyrie Randgris@NPC_EARTHQUAKE,chase,653,5,10000,1000,25000,no,self,myhpltmaxrate,30,,,,,,,
22381,Valkyrie Randgris@NPC_EARTHQUAKE,attack,653,5,10000,1000,25000,no,self,myhpltmaxrate,30,,,,,,,
22381,Valkyrie Randgris@WZ_VERMILION,attack,85,21,1000,1000,5000,no,target,always,0,,,,,,,
22381,Valkyrie Randgris@WZ_VERMILION,chase,85,21,2000,1000,5000,no,target,always,0,,,,,,,
22381,Valkyrie Randgris@WZ_METEOR,attack,85,21,1000,1000,5000,no,target,always,0,,,,,,,
22381,Valkyrie Randgris@WZ_METEOR,chase,85,21,2000,1000,5000,no,target,always,0,,,,,,,
22381,Valkyrie Randgris@WZ_STORMGUST,attack,85,21,1000,1000,5000,no,target,always,0,,,,,,,
22381,Valkyrie Randgris@WZ_STORMGUST,chase,85,21,2000,1000,5000,no,target,always,0,,,,,,,

// Imitate Base
// MobID,Dummy,State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat
30086,imt_swordman@KN_CHARGEATK,chase,1001,1,2000,0,10000,no,target,always,0,,,,,,41,
30086,imt_swordman@LK_SPIRALPIERCE,attack,397,1,1500,0,10000,no,target,always,0,,,,,,28,
30086,imt_swordman@LK_PARRYING,idle,356,2,2500,0,60000,yes,self,always,0,,,,,,,
30086,imt_swordman@LK_PARRYING,chase,356,2,10000,0,60000,yes,self,always,0,,,,,,,
30086,imt_swordman@NPC_ALLHEAL,idle,687,1,10000,60000,60000,yes,self,myhpltmaxrate,90,,,,,,,
30086,imt_swordman@NPC_ALLHEAL,idle,687,1,10000,10000,10000,yes,self,rudeattacked,,,,,,,,

30087,V_SHECIL@AC_DOUBLE,attack,46,15,2500,0,0,yes,target,always,,,,,,,6,
30087,V_SHECIL@AC_CHARGEARROW,attack,148,1,4000,0,10000,yes,target,always,,,,,,,6,
30087,V_SHECIL@SN_SHARPSHOOTING,attack,382,1,300,500,1500,no,target,always,,,,,,,,
30087,imt_archer@NPC_ALLHEAL,idle,687,1,10000,60000,60000,yes,self,myhpltmaxrate,90,,,,,,,
30087,imt_archer@NPC_ALLHEAL,idle,687,1,10000,10000,10000,no,self,rudeattacked,,,,,,,,

30088,V_MAGALETA@HP_ASSUMPTIO,idle,361,5,2500,1000,10000,no,self,always,,,,,,,,
30088,V_MAGALETA@HP_ASSUMPTIO,idle,361,5,2500,1000,10000,no,friend,always,,,,,,,,
30088,V_MAGALETA@AL_PNEUMA,idle,25,1,1000,0,0,yes,self,longrangeattacked,,,,,,,,
30088,V_MAGALETA@PR_LEXDIVINA,idle,76,10,2500,0,10000,yes,target,casttargeted,,,,,,,18,
30088,V_MAGALETA@PR_LEXAETERNA,attack,78,1,10000,0,10000,yes,target,always,,,,,,,29,
30088,V_MAGALETA@PR_MAGNUS,attack,79,5,10000,0,30000,yes,target,always,,,,,,,29,
30088,V_MAGALETA@PR_MAGNUS,chase,79,5,10000,0,30000,yes,target,always,,,,,,,29,
